year,"inflation (all, demeaned)",rho,nu,u
2016.5,-3.77721590789962,0.869861029592542,-2.28573524084873,-2.36134169664343
2016.75,-1.22479030913615,1.05181169419892,-2.07777084212789,-0.198831161207178
2017,-0.18482607996748,-0.24593656880153,-2.30780170740123,2.36891219623528
2017.25,-4.44056940445316,0.385994501373631,-2.32212733178382,-2.50443657404297
2017.5,-2.26821837278053,1.10470552689409,-2.27184346547552,-1.1010804341991
2017.75,-0.301765861001957,0.633404477571207,-1.73770817570054,0.802537837127377
2018,-0.323531793573973,0.443822949705226,-1.67681942795031,0.909464684671112
2018.25,-1.19007083225437,0.261627330507677,-2.11692613848866,0.665227975726613
2018.5,-3.34969574210819,-0.00279149086694092,-1.74549783102733,-1.60140642021392
2018.75,-2.87306299771727,-0.708508854584804,-1.78766789238622,-0.37688625074625
2019,-4.09785867464182,0.90257383473463,-2.01384265483232,-2.98658985454413
2019.25,-0.22756525276815,-0.0739191270577783,-1.98548521934641,1.83183909363603
2019.5,-4.00436630442742,1.09500923769142,-2.25971524027867,-2.83966030184018
2019.75,-1.52102371347104,0.131399084867251,-1.80688658371338,0.154463785375087
2020,-3.34478660156388,-1.11348828835865,-1.41857927175542,-0.812719041449816
2020.25,-7.98830339271798,0.929323092750454,-1.85374193422438,-7.06388455124405
2020.5,2.54595177182989,0.622620450304578,-2.285301258063,4.20863257958831
2020.75,-1.89955630589308,2.08527272206242,-1.72355312787675,-2.26127590007875
2021,3.46854632011779,1.25474005628234,-0.526474206262502,2.74028047009796
